city,deliveryTime,foodType,price,restaurantName
amreli,25 MINS,"Chinese, North Indian, Fast Food",₹200 FOR TWO,China Town
amritsar,35 MINS,"North Indian, Tandoor, Biryani, Combo",₹400 FOR TWO,Chaman Family Restaurant
amritsar,31 MINS,North Indian,₹150 FOR TWO,Sabri Bhathura Shop
amritsar,43 MINS,"American, Fast Food, Snacks",₹500 FOR TWO,KFC
amritsar,34 MINS,"Fast Food, Street Food, South Indian, Chinese",₹200 FOR TWO,Bombay Pav Bhaji (Original)
amreli,26 MINS,"Gujarati, Thalis",₹250 FOR TWO,Ganesh Dining Hall
amreli,29 MINS,"Chinese, South Indian, Desserts, Fast Food, Italian",₹100 FOR TWO,Food Plaza
amreli,29 MINS,"Mughlai, Seafood",₹200 FOR TWO,Hotel Mono & Surti Omellete
amreli,30 MINS,"Chinese, North Indian, Punjabi",₹200 FOR TWO,Surya Garden Restaurant
amreli,36 MINS,Fast Food,₹100 FOR TWO,Bajarang Sandwich
amreli,-- MINS,"Indian, Fast Food",₹250 FOR TWO,Hotel Ruhani
amritsar,33 MINS,"Fast Food, Healthy Food, Salads, Snacks, Desserts, Beverages",₹350 FOR TWO,Subway
amritsar,37 MINS,"Mughlai, Continental, Chinese, Italian, Combo, Biryani",₹600 FOR TWO,Crystal Restaurant Plaza
amritsar,28 MINS,"Desserts, Ice Cream",₹250 FOR TWO,Giani
amritsar,30 MINS,North Indian,₹250 FOR TWO,Vaishno Food Shop ( Pakode Wale)  
amritsar,30 MINS,North Indian,₹250 FOR TWO,Chajju Da Dhaba
amritsar,35 MINS,"Indian, Chinese, Continental",₹300 FOR TWO,Mehta Foods
amreli,-- MINS,"Desserts, Fast Food",₹100 FOR TWO,Amal Bakery
amreli,-- MINS,Fast Food,₹80 FOR TWO,Sadguru Sandwich
amreli,-- MINS,"Beverages, Desserts, Pizzas",₹200 FOR TWO,Tawa Tadka The Cafe
anand,37 MINS,"Fast Food, Beverages",₹200 FOR TWO,UFO Fries & Corn
